あ,U3042
い,U3044
う,U3046
え,U3048
お,U304A
か,U304B
が,U304C
き,U304D
ぎ,U304E
く,U304F
ぐ,U3050
け,U3051
げ,U3052
こ,U3053
ご,U3054
さ,U3055
ざ,U3056
し,U3057
じ,U3058
す,U3059
ず,U305A
せ,U305B
ぜ,U305C
そ,U305D
ぞ,U305E
た,U305F
だ,U3060
ち,U3061
ぢ,U3062
つ,U3064
づ,U3065
て,U3066
で,U3067
と,U3068
ど,U3069
な,U306A
に,U306B
ぬ,U306C
ね,U306D
の,U306E
は,U306F
ば,U3070
ぱ,U3071
ひ,U3072
び,U3073
ぴ,U3074
ふ,U3075
ぶ,U3076
ぷ,U3077
へ,U3078
べ,U3079
ぺ,U307A
ほ,U307B
ぼ,U307C
ぽ,U307D
ま,U307E
み,U307F
む,U3080
め,U3081
も,U3082
や,U3084
ゆ,U3086
よ,U3088
ら,U3089
り,U308A
る,U308B
れ,U308C
ろ,U308D
わ,U308F
ゐ,U3090
ゑ,U3091
を,U3092
ん,U3093
